"No","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
749,"SHIP CONSTRUCTION","Galway City","Ard Cr�, Ballymoneen Road (Phase 1)",14,"*N/A","","","","","","Q2-2018"
750,"CAS CONSTRUCTION","Galway City","97/98 Rockfield",4,"Carraig Dubh Housing Association","","","","","","Q1-2018"
751,"CAS CONSTRUCTION","Galway City","Cul Garrai, Rahoon",6,"Peter Triest Housing Association Ltd","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
752,"CAS CONSTRUCTION","Galway City","47 Forster Street",9,"Cope Galway","","","","","","Q4-2019"
753,"CAS CONSTRUCTION","Galway City","Doughiska, Galway City",7,"Respond","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
754,"CALF Turnkey","Galway City","Belmont, Renmore, Galway City (Phase 1)*",16,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
755,"CALF Turnkey","Galway City","Block C, Sraith Fhada, Doughiska, Galway (Phase 1)",11,"T�ath Housing Association Ltd","","","","","Q2-2008",""
756,"CALF Turnkey","Galway City","Block D, Sraith Fhada, Doughiska, Galway (Phase 1)",14,"T�ath Housing Association Ltd","","","","","","Q4-2019"
757,"CALF Turnkey","Galway City","Boireann Beag, Ros Cam, Galway (Phase 1)",16,"Cluid Housing","","","","","","Q4-2016"
758,"CALF Turnkey","Galway City","Breacan, Letteragh Road, Galway City (Phase 1)*",2,"T�ath Housing Association Ltd","","","","","","Q4-2019"
759,"CALF Turnkey","Galway City","Caireal Mor (Phase 2), Headford Road, Castlegar, Galway (Phase 1)",7,"Respond","","","","","","Q4-2019"
760,"CALF Turnkey","Galway City","Caireal Mor (Phase 2), Headford Road, Castlegar, Galway (Phase 2)*",8,"Respond","","","","","Q2-2019",""
761,"CALF Turnkey","Galway City","Caireal Mor, Castlegar Road, Galway (Phase 1)",10,"Respond","","","","","","Q4-2019"
762,"CALF Turnkey","Galway City","Caireal Mor, Castlegar Road, Galway (Phase 2)",63,"Respond","","","","","Q2-2018",""
763,"CALF Turnkey","Galway City","Caireal Mor, Castlegar Road, Galway (Phase 3)",8,"Respond","","","","","Q2-2018",""
764,"CALF Turnkey","Galway City","Cnoc na Ri, Clybaun Road, Galway  (Phase 1)*",2,"Cluid Housing","","","","","","Q3-2017"
765,"CALF Turnkey","Galway City","Creig Ard, Roscam, Galway City, Co. Galway (Phase 1)*",17,"Cluid Housing","","","","","Q4-2019",""
766,"CALF Turnkey","Galway City","Leana Theas, Cappagh Road, Galway City (Phase 1)*",10,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
767,"CALF Turnkey","Galway City","Letteragh Road, Rahoon, Galway City (Phase 1)*",10,"Cluid Housing","","","","Q3-2020","",""
768,"CALF Turnkey","Galway City","Letteragh Road, Rahoon, Galway City (Phase 2)",13,"Cluid Housing","","","","Q3-2020","",""
769,"CALF Turnkey","Galway City","Letteragh Road, Rahoon, Galway City (Phase 3)",16,"Cluid Housing","","","","Q3-2020","",""
770,"CALF Turnkey","Galway City","Letteragh Road, Rahoon, Galway City (Phase 4)*",25,"Cluid Housing","","","","Q3-2020","",""
771,"CALF Turnkey","Galway City","Maigh Rua, Doughiska, Galway  (Phase 1)",23,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2017"
772,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Galway (Phase 1)*",2,"T�ath Housing Association Ltd","","","","","","Q1-2017"
773,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Galway (Phase 2)*",4,"T�ath Housing Association Ltd","","","","","","Q4-2017"
774,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Knocknacarra, Galway CIty (Phase 1)*",3,"T�ath Housing Association Ltd","","","","","","Q3-2018"
775,"CALF Turnkey","Galway City","Reilean, Roscam, Block 5 Galway (Phase 1)*",12,"T�ath Housing Association Ltd","","","","","","Q2-2017"
776,"CALF Turnkey","Galway City","Reilean, Roscam,Block 4 Galway (Phase 1)*",12,"T�ath Housing Association Ltd","","","","","","Q2-2017"
777,"CALF Turnkey","Galway City","Revised Murrough, Renmore, Galway  (Phase 1)*",20,"Cluid Housing","","","","","","Q1-2019"
778,"SHIP CONSTRUCTION TURNKEY","Galway County","Lorro gate, Prospect, Athenry",14,"*N/A","","","","","","Q4-2017"
779,"SHIP CONSTRUCTION TURNKEY","Galway County","Arvough, Kinvara",6,"*N/A","","","","","","Q4-2017"
780,"SHIP CONSTRUCTION TURNKEY","Galway County","Castlecourt, Abbey Street, Portumna",10,"*N/A","","","","","","Q4-2017"
781,"SHIP CONSTRUCTION TURNKEY","Galway County","Ashthorn Avenue, Headford",10,"*N/A","","","","","","Q4-2018"
782,"SHIP CONSTRUCTION TURNKEY","Galway County","Cuirt na hAbhann, Claregalway ",8,"*N/A","","","","","","Q4-2018"
783,"SHIP CONSTRUCTION TURNKEY","Galway County","Tullahill, Loughrea",19,"*N/A","","","","","","Q4-2019"
784,"SHIP CONSTRUCTION TURNKEY","Galway County","Tullahill, Loughrea - Phase 2",17,"*N/A","","","","","","Q4-2019"
785,"SHIP CONSTRUCTION TURNKEY","Galway County","Arvough, Kinvara",4,"*N/A","","","","","","Q4-2019"
786,"SHIP CONSTRUCTION TURNKEY","Galway County","Cois na hAbhainn, Tuam",2,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
787,"SHIP CONSTRUCTION TURNKEY","Galway County","Tullahill, Loughrea -  Phase 3",11,"*N/A","","","","","Q3-2018",""
788,"SHIP CONSTRUCTION TURNKEY","Galway County","Tullahill, Loughrea - Phase 4",14,"*N/A","","","","","Q3-2018",""
789,"SHIP CONSTRUCTION TURNKEY","Galway County","Kylebroughlan, Moycullen ",8,"*N/A","","","","","Q3-2019",""
790,"SHIP CONSTRUCTION TURNKEY","Galway County","Kylebroughlan, Moycullen ",10,"*N/A","","","","","Q3-2019",""
791,"SHIP CONSTRUCTION TURNKEY","Galway County","Kylebroughlan, Moycullen ",8,"*N/A","","","","","Q3-2019",""
792,"SHIP CONSTRUCTION TURNKEY","Galway County","Kylebroughlan, Moycullen ",8,"*N/A","","","","","Q3-2019",""
793,"SHIP CONSTRUCTION TURNKEY","Galway County","Kylebroughlan, Moycullen ",10,"*N/A","","","","","Q3-2019",""
794,"SHIP CONSTRUCTION TURNKEY","Galway County","Garra� Mhic Aodha, Tubber Road, Gort ",31,"*N/A","","","","","Q2-2019",""
795,"SHIP CONSTRUCTION","Galway City","Monivea Road, Ballybaan More",15,"*N/A","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
796,"SHIP CONSTRUCTION","Galway City","Monivea Road, Ballybaan More",58,"*N/A","","","","","Q1-2020",""
797,"SHIP CONSTRUCTION","Galway City","Headford Road, Castlegar",69,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
798,"SHIP CONSTRUCTION","Galway City","Keeraun, Ballymoneen Road",60,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
799,"SHIP CONSTRUCTION","Galway City","Clareview Park, Ballybaan",5,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
800,"SHIP CONSTRUCTION","Galway City","Merlin Park Lands, Galway City",18,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
801,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Galway City","Ballyburke",74,"*N/A","","","","","Q4-2019",""
802,"SHIP CONSTRUCTION","Galway County","Esker Fields, Ballinasloe",2,"*N/A","","","","","","Q4-2019"
803,"SHIP CONSTRUCTION","Galway County","Garbally Drive, Ballinasloe",10,"*N/A","","","","","","Q3-2019"
804,"SHIP CONSTRUCTION","Galway County","Na Clocha Rua, An Cheathr� Rua",4,"*N/A","","","","","","Q4-2019"
805,"SHIP CONSTRUCTION","Galway County","Ardrahan (SRD)",1,"*N/A","","","","","","Q4-2017"
806,"SHIP CONSTRUCTION","Galway County","Callowfinish, Carna (SRD)",1,"*N/A","","","","","","Q2-2018"
807,"SHIP CONSTRUCTION","Galway County","Waterdale, Claregalway (SRD)",1,"*N/A","","","","","","Q4-2018"
808,"SHIP CONSTRUCTION","Galway County","Corndulla (SRD)",1,"*N/A","","","","","","Q1-2019"
809,"SHIP CONSTRUCTION","Galway County","Cill Ciar�n (SRD)",1,"*N/A","","","","","","Q3-2018"
810,"SHIP CONSTRUCTION","Galway County","Kinvara (SRD)",1,"*N/A","","","","","","Q3-2018"
811,"SHIP CONSTRUCTION","Galway County","Cnoc na Carraige, Roundstone",8,"*N/A","","","","","Q3-2019",""
812,"SHIP CONSTRUCTION","Galway County","Hospital Road, Clifden",16,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
813,"SHIP CONSTRUCTION","Galway County","Bridge Court, Ahascragh, Ballinasloe",18,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
814,"SHIP CONSTRUCTION","Galway County","Caisle�n Raithl�n, Ardrahan",12,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
815,"SHIP CONSTRUCTION","Galway County","Barrack Street, Loughrea",5,"*N/A","","","","","Q2-2020",""
816,"SHIP CONSTRUCTION","Galway County","Gilmartin Road, Tuam. Phase 2",24,"*N/A","","","","","","Q3-2019"
817,"SHIP CONSTRUCTION","Galway County","Cartron, Kinvara",10,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
818,"SHIP CONSTRUCTION","Galway County","Gort U� Lochlainn, Moycullen",31,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
819,"SHIP CONSTRUCTION","Galway County","Gilmartin Road, Tuam",16,"*N/A","","","","","","Q4-2018"
820,"SHIP CONSTRUCTION","Galway County","F�na Bhu�, Tuam",18,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
821,"SHIP CONSTRUCTION","Galway County","Gilmartin Road, Tuam, Phase 3",19,"*N/A","","","","","","Q4-2019"
822,"SHIP CONSTRUCTION","Galway County","Cnoc na Carraige , Roundstone",6,"*N/A","","","","","Q3-2019",""
823,"SHIP CONSTRUCTION","Galway County","Killeeneen Beg, Craughwell (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
824,"SHIP CONSTRUCTION","Galway County","Ballyglass, Ardrahan (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
825,"SHIP CONSTRUCTION","Galway County","Woodpark, Portumna (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
826,"SHIP CONSTRUCTION","Galway County","Carrowmore West, Clontuskert, Ballinasloe (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
827,"SHIP CONSTRUCTION","Galway County","Cooralough, Williamstown (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
828,"CAS CONSTRUCTION TURNKEY","Galway County","Tubber Road, Gort",11,"Inis Housing Association Ltd","","","","","Q2-2020",""
829,"CAS CONSTRUCTION","Galway County","Letterfrack (Phase 2)",11,"Cluid Housing Association","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
830,"CAS CONSTRUCTION","Galway County","Rossaveal Cottages, Ros a Mh�l, South Connemara",8,"Tearmann Eanna Teoranta","Stage 1 approved Q4-2016, outline design and costs being prepared.","","","","",""
831,"CAS CONSTRUCTION","Galway County","Cregboy, Claregalway",14,"Claregalway and District Day Care Centre","","","","","","Q3-2019"
832,"CAS CONSTRUCTION","Galway County","Mountbellew",5,"Mountbellew Voluntary Homes Association","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
833,"CAS CONSTRUCTION","Galway County","Springfield, Parkmore, Ballinasloe",4,"Peter Triest Housing Association Ltd","Stage 1 approved Q2-2017, outline design and costs being prepared.","","","","",""
834,"CAS CONSTRUCTION","Galway County","Letterfrack (Phase 1)",13,"Cluid Housing Association","","","","","","Q2-2016"
835,"CAS CONSTRUCTION","Galway County","Dunlo Hill, Ballinasloe",18,"Cluid Housing Association","","","","","Q4-2018",""
836,"CAS CONSTRUCTION","Galway County","Aggard More, Craughwell",4,"Peter Triest Housing Association Ltd","","","","","","Q4-2019"
837,"CAS CONSTRUCTION","Galway County","The Old Post Office, Inverin",4,"Tearmann Eanna Teoranta","","","","","Q4-2019",""
838,"CAS CONSTRUCTION","Galway County","Shannon Road, Portumna",4,"Carraig Dubh Housing Association","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
839,"CALF Turnkey","Galway County","Cnoc na Si, Portumna, Co Galway (Phase 1)",10,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2018"
840,"CALF Turnkey","Galway County","Dunloe Street, Ballinasloe, Co. Galway (Phase 1)",9,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2018",""
841,"CALF Turnkey","Galway County","Oranhill, Oranmore, Co. Galway (Phase 1)*",22,"Cluid Housing","","","","Q2-2020","",""
842,"CALF Turnkey","Galway County","Riveroaks, Claregalway, Co Galway  (Phase 1)",11,"Cluid Housing","","","","","Q4-2019",""
843,"CALF Turnkey","Galway County","Riveroaks, Claregalway, Co Galway  (Phase 2)",12,"Cluid Housing","","","","","Q4-2019",""
844,"CALF Turnkey","Galway County","Riveroaks, Claregalway, Co Galway  (Phase 3)*",16,"Cluid Housing","","","","","Q4-2019",""
845,"CALF Construction","Galway County","Spiddal Cottages, Co Galway (Phase 1)",23,"Cluid Housing","","","","","","Q3-2017"
846,"CALF Turnkey","Galway County","Tir an Choir, Vicars Choral, Tuam, Co. Galway (Phase 1)",8,"Co - Operative Housing Ireland Society Limited","","","","Q1-2020","",""
847,"CALF Turnkey","Galway County","Tir an Choir, Vicars Choral, Tuam, Co. Galway (Phase 2)",4,"Co - Operative Housing Ireland Society Limited","","","","Q1-2020","",""
848,"SHIP CONSTRUCTION TURNKEY","Kerry","Ard Na Si, Lispole",2,"*N/A","","","","","","Q1-2018"
849,"SHIP CONSTRUCTION TURNKEY","Kerry","1-4 Steeple Meadow View, Milltown",4,"*N/A","","","","","","Q4-2017"
850,"SHIP CONSTRUCTION TURNKEY","Kerry","Meadow Park, Milltown",9,"*N/A","","","","","","Q2-2018"
851,"SHIP CONSTRUCTION TURNKEY","Kerry","Ard Na Si, Lispole, Phase 2",5,"*N/A","","","","","","Q3-2018"
852,"SHIP CONSTRUCTION TURNKEY","Kerry","Ardmoniel Heights, Killorglin",3,"*N/A","","","","","","Q4-2018"
853,"SHIP CONSTRUCTION TURNKEY","Kerry","47 Woodview, Cahirdown, Listowel",1,"*N/A","","","","","","Q2-2018"
854,"SHIP CONSTRUCTION TURNKEY","Kerry","Dromin Upper, Listowel",8,"*N/A","","","","","Q4-2019",""
855,"SHIP CONSTRUCTION TURNKEY","Kerry","Ard Na Si, Lispole, Phase 3",3,"*N/A","","","","","","Q4-2018"
856,"SHIP CONSTRUCTION TURNKEY","Kerry","Ardmoniel Heights, Killorglin - Phase 2",1,"*N/A","","","","","","Q2-2019"
857,"SHIP CONSTRUCTION TURNKEY","Kerry","Ballygologue, Road, Listowel",2,"*N/A","","","","","","Q4-2019"
858,"SHIP CONSTRUCTION TURNKEY","Kerry","Cronin's Wood, Killarney",50,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
859,"SHIP CONSTRUCTION TURNKEY","Kerry","Marian Terrace, Ballyheigue",9,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
860,"SHIP CONSTRUCTION","Galway County","Woodfireld, Dunmore (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
861,"SHIP CONSTRUCTION","Galway County","Knockaloura West, Brownsgrove, Tuam (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
862,"SHIP CONSTRUCTION","Galway County","Creggaturlough, Craughwell (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
863,"SHIP CONSTRUCTION","Galway County","Baunoge, Letterfrack (SRD)",1,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
864,"SHIP CONSTRUCTION","Galway County","Hospital Road, Clifden",10,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
865,"SHIP CONSTRUCTION","Galway County","F�na Bhu�, Tuam",13,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
866,"SHIP CONSTRUCTION","Galway County","F�na Bhu�, Tuam",18,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
867,"SHIP CONSTRUCTION","Kerry","Pinewood Estate, Killarney",6,"*N/A","","","","","","Q4-2019"
868,"SHIP CONSTRUCTION","Kerry","Glannagilliagh, Caragh Lake, Killorglin (SRD)",1,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
869,"SHIP CONSTRUCTION","Kerry","Carrigcannon, Lyreacrumpane (SRD)",1,"*N/A","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
870,"SHIP CONSTRUCTION","Kerry","Cois Gallain, Killorglin",14,"*N/A","","","","","","Q4-2019"
871,"SHIP CONSTRUCTION","Kerry","Rathmore/Barraduff",20,"*N/A","","","","","Q4-2019",""
872,"SHIP CONSTRUCTION","Kerry","Ardbhearna, Kenmare",22,"*N/A","","","","","","Q4-2018"
873,"SHIP CONSTRUCTION","Kerry","Bill Kinnerk Road, Tralee",4,"*N/A","","","","","","Q1-2018"
874,"SHIP CONSTRUCTION","Kerry","Cuirt Eaglaise, Milltown",8,"*N/A","","","","","","Q4-2019"
875,"SHIP CONSTRUCTION","Kerry","Killeen, Tralee",21,"*N/A","","","","","","Q3-2019"
876,"SHIP CONSTRUCTION","Kerry","Lixnaw",4,"*N/A","","","","","","Q4-2017"
877,"SHIP CONSTRUCTION","Kerry","The Park, Killarney",20,"*N/A","","","","","","Q1-2018"
878,"SHIP CONSTRUCTION","Kerry","Courthouse Lawn, Listowel",7,"*N/A","","","","","","Q4-2019"
879,"SHIP CONSTRUCTION","Kerry","Dreenagh, Ballyheigue (SRD)",1,"*N/A","","","","","","Q1-2017"
880,"SHIP CONSTRUCTION","Kerry","Glenach, Ballybunion",20,"*N/A","","","","","Q4-2019",""
881,"SHIP CONSTRUCTION","Kerry","Callinafercy, Milltown",1,"*N/A","","","","","","Q4-2018"
882,"SHIP CONSTRUCTION","Kerry","Cahernaboshina, Ventry",1,"*N/A","","","","","","Q4-2018"
883,"SHIP CONSTRUCTION","Kerry","An Carrigin, Tralee",28,"*N/A","","","","","Q2-2019",""
884,"SHIP CONSTRUCTION","Kerry","Pinewood Estate, Killarney",1,"*N/A","","","","","","Q4-2018"
885,"SHIP CONSTRUCTION","Kerry","Drom West, Glenbeigh",1,"*N/A","","","","","Q1-2020",""
886,"SHIP CONSTRUCTION","Kerry","Meanus, Killorglin",1,"*N/A","","","","","","Q3-2019"
887,"SHIP CONSTRUCTION","Kerry","Tullig Beg, Killorglin",1,"*N/A","","","","","","Q3-2019"
888,"SHIP CONSTRUCTION","Kerry","Owngarry, Killorglin",1,"*N/A","","","","","","Q4-2019"
889,"SHIP CONSTRUCTION","Kerry","Lohercannon, Tralee",61,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
890,"SHIP CONSTRUCTION","Kerry","BallinaKilly Lower, Glenbeigh",1,"*N/A","","","","","Q1-2020",""
891,"SHIP CONSTRUCTION","Kerry","Ashgrove, Listowel",1,"*N/A","","","","","","Q3-2017"
892,"SHIP CONSTRUCTION","Kerry","Cullenagh Upper, Beaufort",1,"*N/A","","","","","Q1-2020",""
893,"SHIP CONSTRUCTION","Kerry","Farranwilliam, Ardfert",22,"*N/A","","","","","Q3-2019",""
894,"SHIP CONSTRUCTION","Kerry","Ballyrickard, Tralee",21,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
895,"SHIP CONSTRUCTION","Kerry","Croogorts, Tralee",30,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
896,"SHIP CONSTRUCTION","Kerry","Rock Rd., Killarney",10,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
897,"REGENERATION","Kerry","Croilar Na Mistaelach, Tralee",11,"*N/A","","","","","","Q4-2018"
898,"REGENERATION","Kerry","Urban Terrace, Tralee",2,"*N/A","","","","","","Q4-2016"
899,"REGENERATION","Kerry","Clonmore Road, Tralee",3,"*N/A","","","","","","Q4-2016"
900,"REGENERATION","Kerry","St Martin's Park, Tralee",4,"*N/A","","","","","","Q4-2018"
901,"REGENERATION","Kerry","Dingle Road, Tralee",1,"*N/A","","","","","","Q2-2018"
902,"CAS CONSTRUCTION","Kerry","Armagh House, Killarney",6,"Cluid Housing Association","","","","","Q4-2019",""
903,"CAS CONSTRUCTION","Kerry","22 College Road, Castleisland",4,"Kerry Emigrant Support Housing Association Ltd","","","","","","Q4-2018"
904,"CAS CONSTRUCTION","Kerry","Chamfers Place (Mitchels road, Tralee)",18,"Cluid Housing Association","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
905,"CAS CONSTRUCTION","Kerry","The Parsonage, Caherciveen",5,"Caherciveen Social Services (Housing) Ltd","","","","","","Q4-2018"
906,"CAS CONSTRUCTION","Kerry","Hawley Park Apartments, St Martins Park, Mitchels Rd, Tralee",15,"Kingdom Voluntary Housing Association","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
