"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1799,"CALF Turnkey","Meath","Royal Oaks, Enfield, Co Meath (Phase 1)*",4,"Cluid Housing","","","","","","Q2-2017"
1800,"CALF Turnkey","Meath","Royal Oaks, Enfield, Co. Meath (Phase 2) (Phase 1)*",4,"Cluid Housing","","","","","","Q4-2020"
1801,"CALF Turnkey","Meath","Royal Oaks, Enfield, Co. Meath (Phase 2) (Phase 2)*",14,"Cluid Housing","","","","","Q4-2019",""
1802,"CALF Turnkey","Meath","Royal Oaks, Enfield, Co. Meath (Phase 2) (Phase 3)",16,"Cluid Housing","","","","","Q4-2019",""
1803,"CALF Turnkey","Meath","Seabury Lawns, Mornington, Co. Meath (Phase 1)",25,"Cluid Housing","","","","","","Q3-2017"
1804,"CALF Turnkey","Meath","Station Road, Dunboyne, Co. Meath (Phase 1)",24,"Respond","","","","","","Q4-2018"
1805,"CALF Turnkey","Meath","The Bungalows, Dunshauglin, Co. Meath (Phase 1)*",8,"Circle Voluntary Housing Association Ltd","","","","","","Q4-2020"
1806,"CALF Turnkey","Meath","The Maudlins, Trim, Co. Meath (Phase 1)",9,"Cluid Housing","","","","","Q1-2020",""
1807,"CALF Turnkey","Meath","The Maudelins (Phase 2), Main Street, Duleek, Co. Meath",30,"Respond","","","","","","Q4-2020"
1808,"CALF Turnkey","Meath","The Way, Broadmeadow Vale, Ratoath, Co. Meath (Phase 1)",2,"T�ath Housing Association","","","","","","Q4-2019"
1809,"CALF Turnkey","Meath","The Willows, Dunshaughlin, Co. Meath (Phase 1)*",96,"Cluid Housing","","","","Q4-2020","",""
1810,"CALF Turnkey","Meath","Tubberclaire, Navan, Co Meath (Phase 1)",8,"Cluid Housing","","","","","","Q2-2016"
1811,"CALF Turnkey","Meath","Tubberclaire, Navan, Co Meath (Phase 2)",7,"Cluid Housing","","","","","","Q3-2016"
1812,"CALF Turnkey","Meath","Tubberclaire, Navan, Co Meath (Phase 3)",8,"Cluid Housing","","","","","","Q4-2016"
1813,"CALF Turnkey","Meath","Whitefield Hall, Bettystown, Co. Meath (Phase 1)",14,"T�ath Housing Association","","","","","","Q2-2020"
1814,"CALF Turnkey","Meath","Whitefield Hall, Bettystown, Co. Meath (Phase 2)",13,"T�ath Housing Association","","","","","","Q3-2020"
1815,"CALF Turnkey","Meath","Whitefield Hall, Bettystown, Co. Meath (Phase 3)",2,"T�ath Housing Association","","","","","Q2-2019",""
1816,"SHIP CONSTRUCTION TURNKEY","Monaghan","Drumbear Wood, Monaghan Town",12,"*N/A","","","","","","Q4-2017"
1817,"SHIP CONSTRUCTION TURNKEY","Monaghan","Knockroe Glen, Monaghan Town",6,"*N/A","","","","","","Q4-2017"
1818,"SHIP CONSTRUCTION TURNKEY","Monaghan","Knockroe Glen, Monaghan Town (Phase 2)",8,"*N/A","","","","","","Q2-2017"
1819,"SHIP CONSTRUCTION TURNKEY","Monaghan","Knockroe Glen, Monaghan Town (Phase 1)",8,"*N/A","","","","","","Q2-2017"
1820,"SHIP CONSTRUCTION TURNKEY","Monaghan","Killycard, Bree, Castleblaney",4,"*N/A","","","","","","Q2-2019"
1821,"SHIP CONSTRUCTION TURNKEY","Monaghan","The Meadows, Smithborough",5,"*N/A","","","","","","Q4-2017"
1822,"SHIP CONSTRUCTION TURNKEY","Monaghan","Maple Grove, Smithborough",11,"*N/A","","","","","","Q4-2018"
1823,"SHIP CONSTRUCTION TURNKEY","Monaghan","Pl�s an Bhr�, Rosevale, Bree, Castleblayney",26,"*N/A","","","","","","Q4-2020"
1824,"SHIP CONSTRUCTION TURNKEY","Monaghan","Ard na Radhairc, Carrickmacross, Co. Monaghan",41,"*N/A","","","","","Q3-2019",""
1825,"SHIP CONSTRUCTION TURNKEY","Monaghan","Coill an Ri, Carrickmacross",6,"*N/A","","","","","","Q4-2020"
1826,"SHIP CONSTRUCTION TURNKEY","Monaghan","The Meadows, Smithborough",5,"*N/A","","","","","","Q3-2019"
1827,"SHIP CONSTRUCTION TURNKEY","Monaghan","Drummond Radhairc, Carrickmacross",1,"*N/A","","","","","","Q3-2019"
1828,"SHIP CONSTRUCTION TURNKEY","Monaghan","Cnoc na Greine, Tydavnet",6,"*N/A","","","","","","Q4-2020"
1829,"SHIP CONSTRUCTION TURNKEY","Monaghan","Coill an Ri, Carrickmacross",2,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
1830,"SHIP CONSTRUCTION SINGLE STAGE","Monaghan","Folly Court, Ballybay",6,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1831,"SHIP CONSTRUCTION","Monaghan","Bree, Castleblayney",8,"*N/A","","","","","","Q2-2019"
1832,"SHIP CONSTRUCTION","Monaghan","Latlorcan, Monaghan Town",43,"*N/A","","","","","","Q4-2019"
1833,"SHIP CONSTRUCTION","Monaghan","Fermanagh St., Clones",3,"*N/A","","","","","","Q4-2020"
1834,"SHIP CONSTRUCTION","Monaghan","Fermanagh St., Clones",3,"*N/A","","","","","","Q4-2020"
1835,"SHIP CONSTRUCTION","Monaghan","Fermanagh St., Clones",3,"*N/A","","","","","Q3-2019",""
1836,"SHIP CONSTRUCTION","Monaghan","Fermanagh St., Clones",6,"*N/A","","","","","Q3-2019",""
1837,"SHIP CONSTRUCTION","Monaghan","2a & 3 Analore St., Clones",2,"*N/A","","","","","Q3-2019",""
1838,"SHIP CONSTRUCTION","Monaghan","Abbey Gatehouse, Analore St., Clones",4,"*N/A","","","","","Q3-2019",""
1839,"SHIP CONSTRUCTION","Monaghan","Lui Na Greine, Scotstown",32,"*N/A","","","","","Q2-2020",""
1840,"SHIP CONSTRUCTION","Monaghan","Latlorcan, Monaghan",16,"*N/A","","","","","","Q4-2018"
1841,"SHIP CONSTRUCTION","Monaghan","12 Church St., Ballybay",2,"*N/A","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
1842,"SHIP CONSTRUCTION","Monaghan","Fermanagh St., Clones",3,"*N/A","","","","","Q1-2020",""
1843,"SHIP CONSTRUCTION","Monaghan","Church Hill, Clones",2,"*N/A","","","Stage 3 approved Q4-2020, the scheme is now approved to proceed to tender.","","",""
1844,"SHIP CONSTRUCTION","Monaghan","13 McCurtain Street, Clones",1,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
1845,"CAS CONSTRUCTION","Monaghan","Drumillard, Castleblayney (Phase 2)",2,"Castleblayney Care Housing Association Ltd","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
1846,"CAS CONSTRUCTION","Monaghan","Liseggerton, Clones",19,"Oaklee Housing Trust","","","","","Q1-2020",""
1847,"CAS CONSTRUCTION","Monaghan","Convent Lands, Carrickmacross",7,"Respond","","","","","","Q2-2017"
1848,"CAS CONSTRUCTION","Monaghan","Birch Court Apts., 34 Main Street, Ballybay",4,"North ? East Housing Association Ltd","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
1849,"CALF Turnkey","Monaghan","Bree, Castleblayney, Co. Monaghan (Phase 1)",11,"T�ath Housing Association","","","","","","Q4-2020"
1850,"CALF Turnkey","Monaghan","Bree, Castleblayney, Co. Monaghan (Phase 2)",6,"T�ath Housing Association","","","","","Q2-2019",""
1851,"CALF Turnkey","Monaghan","Bree, Castleblayney, Co. Monaghan (Phase 3)",8,"T�ath Housing Association","","","","","Q2-2019",""
1852,"CALF Turnkey","Monaghan","Bree, Castleblayney, Co. Monaghan (Phase 4)",13,"T�ath Housing Association","","","","","Q2-2019",""
1853,"CALF Turnkey","Monaghan","Kingscourt Road, Carrickmacross, Co Monaghan  (Phase 1)",50,"Respond","","","","","","Q4-2019"
1854,"CALF Turnkey","Monaghan","Lakeview Apartments, Drummond Radhairc, Carrickmacross, Co Monaghan (Phase 1)*",12,"North & East Housing Association Ltd","","","","","Q3-2019",""
1855,"CALF Turnkey","Monaghan","Macartan View,  Latlorcan, Dublin Road, Monaghan (Phase 1)*",20,"T�ath Housing Association","","","","Q4-2020","",""
1856,"CALF Turnkey","Monaghan","Macartan View,  Latlorcan, Dublin Road, Monaghan (Phase 2)*",21,"T�ath Housing Association","","","","Q4-2020","",""
1857,"CALF Turnkey","Monaghan","Magheross, Carrickmacross, Co Monaghan (Phase 1)",7,"T�ath Housing Association","","","","","Q3-2019",""
1858,"CALF Turnkey","Monaghan","Magheross, Carrickmacross, Co Monaghan (Phase 2)",4,"T�ath Housing Association","","","","","Q3-2019",""
1859,"CALF Turnkey","Monaghan","Magheross, Carrickmacross, Co Monaghan (Phase 3)",4,"T�ath Housing Association","","","","","Q3-2019",""
1860,"CALF Turnkey","Monaghan","Magheross, Carrickmacross, Co Monaghan (Phase 4)",4,"T�ath Housing Association","","","","","Q3-2019",""
1861,"CALF Turnkey","Monaghan","Magheross, Carrickmacross, Co Monaghan (Phase 5)",14,"T�ath Housing Association","","","","","Q3-2019",""
1862,"CALF Construction","Monaghan","Post Tender - Liseggerton Road, Clones (Phase 1)",6,"Oaklee Housing","","","","","","Q4-2018"
1863,"SHIP CONSTRUCTION TURNKEY","Offaly","McGregol, Birr (Phase 2.1)",2,"*N/A","","","","","","Q3-2020"
1864,"SHIP CONSTRUCTION TURNKEY","Offaly","Mill Race, Ferbane",5,"*N/A","","","","","","Q4-2017"
1865,"SHIP CONSTRUCTION TURNKEY","Offaly","Cluain na Spideoga, Cloghan",6,"*N/A","","","","","","Q2-2019"
1866,"SHIP CONSTRUCTION TURNKEY","Offaly","Frankford, Kilcormac",12,"*N/A","","","","","","Q4-2018"
1867,"SHIP CONSTRUCTION TURNKEY","Offaly","McGregol, Birr (Phase 1)",4,"*N/A","","","","","","Q4-2019"
1868,"SHIP CONSTRUCTION TURNKEY","Offaly","Cluain na Greine, Cloneygowan",4,"*N/A","","","","","","Q4-2019"
1869,"SHIP CONSTRUCTION TURNKEY","Offaly","Main Street, Daingean",8,"*N/A","","","","","Q4-2020",""
1870,"SHIP CONSTRUCTION TURNKEY","Offaly","McCauley Drive, Birr",34,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
1871,"SHIP CONSTRUCTION TURNKEY","Offaly","Riverside, Tullamore",5,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
1872,"SHIP CONSTRUCTION TURNKEY","Offaly","Cluain na Greine, Clonygowan",3,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
1873,"SHIP CONSTRUCTION TURNKEY","Offaly","Coolgarry, Walsh Island ",4,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
1874,"SHIP CONSTRUCTION TURNKEY","Offaly","Mucklagh, Tullamore",8,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
1875,"SHIP CONSTRUCTION TURNKEY","Offaly","McGregol, Birr (Phase 2.2)",6,"*N/A","","","","","Q1-2019",""
1876,"SHIP CONSTRUCTION TURNKEY","Offaly","Bog Road, Portarlington",28,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
1877,"SHIP CONSTRUCTION","Offaly","Chancery Lane, Tullamore",14,"*N/A","","","","","","Q3-2020"
1878,"SHIP CONSTRUCTION","Offaly","Circular Road, Daingean",9,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
1879,"SHIP CONSTRUCTION","Offaly","Kylebeg, Banagher (Phase 2)",18,"*N/A","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
1880,"SHIP CONSTRUCTION","Offaly","Blundell Wood, Edenderry",33,"*N/A","","","","","","Q4-2019"
1881,"SHIP CONSTRUCTION","Offaly","Beechgrove, Belmont",7,"*N/A","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
1882,"SHIP CONSTRUCTION","Offaly","Raheen ,Clara",38,"*N/A","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
1883,"SHIP CONSTRUCTION","Offaly","Elderberry Drive, Moneygall",4,"*N/A","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
1884,"SHIP CONSTRUCTION","Offaly","Sr. Senan Avenue, Edenderry",4,"*N/A","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
1885,"SHIP CONSTRUCTION","Offaly","Chancery Lane, Tullamore (Phase 2)",20,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
1886,"SHIP CONSTRUCTION","Offaly","1 Newbridge St., Birr",1,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
1887,"CAS CONSTRUCTION","Offaly","Mountbolus",4,"Mid Offaly Housing Association Ltd","","","","","","Q4-2019"
1888,"CAS CONSTRUCTION","Offaly","Killane Court, Edenderry",2,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1889,"CAS CONSTRUCTION","Offaly","Scurragh, Birr (AKA Camcor Green)",6,"Cluid Housing Association","","","","","","Q4-2019"
1890,"CAS CONSTRUCTION","Offaly","Clonminch, Tullamore",19,"Oaklee Housing Trust","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
1891,"CAS CONSTRUCTION","Offaly","Presentation Convent, Portarlington",39,"Sophia Housing Association Ltd","Stage 1 approved Q1-2019, outline design and costs being prepared.","","","","",""
1892,"CAS CONSTRUCTION","Offaly","Clonamore Hotel, Tullamore",17,"Sophia Housing Association Ltd","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
1893,"CALF Turnkey","Offaly","3 units, An Corran, Crinkle, Birr, Co. Offaly (Phase 1)",3,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1894,"CALF Construction","Offaly","Kearney�s Field, Tullamore, Co. Offaly (Phase 1)",41,"Oaklee Housing","","","","Q1-2021","",""
1895,"CALF Construction","Offaly","Killane Drive, Edenderry, Co Offaly (Phase 1)",25,"T�ath Housing Association","","","","","Q3-2019",""
1896,"CALF Turnkey","Offaly","Rahan Road, Tullamore, Co. Offaly (Phase 1)*",26,"Cluid Housing","","","","","Q4-2020",""
1897,"SHIP CONSTRUCTION TURNKEY","Roscommon","Monksland, Athlone",10,"*N/A","","","","","","Q3-2018"
1898,"SHIP CONSTRUCTION TURNKEY","Roscommon","Station Road, Termon, Boyle",10,"*N/A","","","","","","Q1-2019"
1899,"SHIP CONSTRUCTION TURNKEY","Roscommon","Lisroyne Court, Strokestown",10,"*N/A","","","","","","Q4-2019"
1900,"SHIP CONSTRUCTION TURNKEY","Roscommon","Warren Grove, Boyle",4,"*N/A","","","","","","Q4-2018"
1901,"SHIP CONSTRUCTION TURNKEY","Roscommon","Monksfield, Monksland",2,"*N/A","","","","","","Q4-2020"
1902,"SHIP CONSTRUCTION","Roscommon","Cloonfad",3,"*N/A","","","","","Q4-2019",""
1903,"SHIP CONSTRUCTION","Roscommon","Greenfields, Blackstick Road, Roscommon Town",6,"*N/A","","","","","","Q3-2017"
1904,"SHIP CONSTRUCTION","Roscommon","River Oaks, Ballaghaderreen",10,"*N/A","","","","","","Q4-2017"
1905,"SHIP CONSTRUCTION","Roscommon","Silveroe Meadows, Boyle",12,"*N/A","","","","","","Q4-2020"
1906,"SHIP CONSTRUCTION","Roscommon","Cluain Fraoigh, Cloonbeirne",7,"*N/A","","","","","Q4-2019",""
1907,"SHIP CONSTRUCTION","Roscommon","Old Tuam Road,  Monksland, Athlone",2,"*N/A","","","","","","Q4-2020"
1908,"SHIP CONSTRUCTION","Roscommon","Meadowbrook, Ballyclare Td., Ballyleague, Co. Roscommon",16,"*N/A","","","","","Q3-2020",""
1909,"SHIP CONSTRUCTION","Roscommon","Lisroyne Td., Strokestown",10,"*N/A","","","","","Q4-2020",""
1910,"CALF Turnkey","Roscommon","Castle View Apartments, Block B, Roscommon Town (Phase 1)",10,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
1911,"CALF Turnkey","Roscommon","Monksland, Athlone, Co. Roscommon (Phase 1)*",35,"T�ath Housing Association","","","","","Q4-2019",""
1912,"CALF Turnkey","Roscommon","Revised - Monksfield Park, Bealnamulla, Athlone (Phase 1)",13,"Cluid Housing","","","","","","Q3-2018"
1913,"CALF Turnkey","Roscommon","River Oaks, Kilcolman, Ballaghaderreen, Co. Roscommon (Phase 1)",12,"Respond","","","","","","Q1-2018"
1914,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Roscommon","The Walk, Roscommon Town",53,"*N/A","","","","","Q4-2019",""
1915,"SHIP CONSTRUCTION TURNKEY","Sligo","Fairgreen Square, Ballisodare",2,"*N/A","","","","","","Q4-2019"
1916,"SHIP CONSTRUCTION SINGLE STAGE","Sligo","St. Joseph's Terrace, Sligo",1,"*N/A","","","","","","Q4-2019"
1917,"SHIP CONSTRUCTION","Sligo","Collooney",18,"*N/A","","","","","","Q4-2019"
1918,"SHIP CONSTRUCTION","Sligo","Knappagh Road, Sligo",28,"*N/A","","","","","","Q4-2020"
1919,"SHIP CONSTRUCTION","Sligo","Caltragh, Culleens",1,"*N/A","","","","","","Q4-2018"
1920,"SHIP CONSTRUCTION","Sligo","Fr. Flanagan Terrace",14,"*N/A","","","","","","Q3-2018"
1921,"SHIP CONSTRUCTION","Sligo","Daghloonagh, Keash - SRD",1,"*N/A","","","","","","Q4-2016"
1922,"SHIP CONSTRUCTION","Sligo","Rosses Point",14,"*N/A","","","","","","Q4-2019"
1923,"SHIP CONSTRUCTION","Sligo","Fr. Flanagan Terrace",8,"*N/A","","","","","","Q4-2017"
1924,"SHIP CONSTRUCTION","Sligo","Connolly Park, Tubbercurry",10,"*N/A","","","","","Q3-2020",""
1925,"SHIP CONSTRUCTION","Sligo","Dromore West",10,"*N/A","","","","","Q4-2019",""
1926,"SHIP CONSTRUCTION","Sligo","Robbers' Lane, Maugheraboy, Sligo",62,"*N/A","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
1927,"SHIP CONSTRUCTION","Sligo","House at Ballinode",1,"*N/A","","","","","","Q4-2018"
1928,"SHIP CONSTRUCTION","Sligo","SRD at Crowagh, Dromore West",1,"*N/A","","","","","Q4-2020",""
1929,"SHIP CONSTRUCTION","Sligo","Gormley Park, Bunnanadden",6,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
1930,"SHIP CONSTRUCTION","Sligo","Connolly Park, Tubbercurry",15,"*N/A","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
1931,"REGENERATION","Sligo","Geldof Drive & Centre Park, Cranmore, Sligo",30,"*N/A","Stage 1 approved Q4-2020, outline design and costs being prepared.","","","","",""
1932,"CAS CONSTRUCTION","Sligo","Cuan Iosa, Ballymote",8,"Society of Saint Vincent de Paul","","","","","","Q3-2020"
1933,"CAS CONSTRUCTION","Sligo","Killeshin, First Sea Road, Sligo",4,"Newgrove Housing Association Ltd","","","","","Q4-2020",""
1934,"SHIP CONSTRUCTION TURNKEY","South Dublin","Ardsolus, Kingswood, Dublin 24",2,"*N/A","","","","","","Q4-2018"
1935,"SHIP CONSTRUCTION TURNKEY","South Dublin","White Pines, Stocking Avenue, Rathfarnham, Dublin 16",26,"*N/A","","","","","","Q4-2018"
1936,"SHIP CONSTRUCTION TURNKEY","South Dublin","Shackleton Park / Gandon Park, Adamstown",22,"*N/A","","","","","","Q4-2019"
1937,"SHIP CONSTRUCTION TURNKEY","South Dublin","Gandon Park, Adamstown, Lucan",12,"*N/A","","","","","","Q4-2019"
1938,"SHIP CONSTRUCTION SINGLE STAGE","South Dublin","37 Greenfort Gardens, Clondalkin",2,"*N/A","","","","","Q4-2020",""
1939,"SHIP CONSTRUCTION RAPID","South Dublin","Killininny Road, Firhouse (Old Mill, Old Bawn)",24,"*N/A","","","","","","Q4-2018"
1940,"SHIP CONSTRUCTION RAPID","South Dublin","St Cuthbert's, Clondalkin (Phase 1)",63,"*N/A","","","","","","Q3-2019"
1941,"SHIP CONSTRUCTION RAPID","South Dublin","St. Aidan's Brookfield, Tallaght",47,"*N/A","","","","","","Q2-2018"
1942,"SHIP CONSTRUCTION RAPID","South Dublin","St. Marks Avenue, Clondalkin",41,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
1943,"SHIP CONSTRUCTION RAPID","South Dublin","St. Aidan's Brookfield, Tallaght",22,"*N/A","","","","","","Q3-2018"
1944,"SHIP CONSTRUCTION RAPID","South Dublin","St. Aidan's Brookfield, Tallaght",21,"*N/A","","","","","","Q4-2018"
1945,"SHIP CONSTRUCTION RAPID","South Dublin","Riversdale, Clondalkin, Dublin 22",22,"*N/A","","","","","Q4-2020",""
1946,"SHIP CONSTRUCTION RAPID","South Dublin","Riverside Cottages, Templeogue",11,"*N/A","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
1947,"SHIP CONSTRUCTION RAPID","South Dublin","Riversdale, Clondalkin, Dublin 22",21,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
1948,"SHIP CONSTRUCTION","South Dublin","Killinarden, Tallaght",17,"*N/A","","","","","","Q4-2018"
1949,"SHIP CONSTRUCTION","South Dublin","Letts Field, Neilstown, Clondalkin",37,"*N/A","","","","","","Q4-2018"
1950,"SHIP CONSTRUCTION","South Dublin","Owendoher, Ballyboden,  Rathfarnham",40,"*N/A","","","","","","Q1-2019"
1951,"SHIP CONSTRUCTION","South Dublin","Dromcarra, Tallaght",14,"*N/A","","","","","","Q4-2018"
1952,"SHIP CONSTRUCTION","South Dublin","Fortunestown (MacUilliam)",28,"*N/A","","","","","","Q4-2018"
1953,"SHIP CONSTRUCTION","South Dublin","Mayfield Estate, Clondalkin",17,"*N/A","","","","","","Q2-2018"
1954,"SHIP CONSTRUCTION","South Dublin","St Marks Green, Clondalkin",11,"*N/A","","","","","","Q3-2018"
1955,"SHIP CONSTRUCTION","South Dublin","Balgaddy F, Griffeen Avenue, Lucan Co. Dublin",69,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
1956,"SHIP CONSTRUCTION","South Dublin","St Finians",2,"*N/A","","","","","","Q3-2016"
1957,"SHIP CONSTRUCTION","South Dublin","Suncroft, Tallaght",10,"*N/A","","","","","","Q4-2016"
1958,"SHIP CONSTRUCTION","South Dublin","Belgard Road",3,"*N/A","","","","","","Q1-2016"
1959,"SHIP CONSTRUCTION","South Dublin","St. Catherine�s, Knockmore Avenue, Killinarden, Tallaght",12,"*N/A","","","","","Q4-2020",""
1960,"SHIP CONSTRUCTION","South Dublin","Homeville, Knocklyon, Dublin 16",16,"*N/A","","","","","Q4-2020",""
1961,"SHIP CONSTRUCTION","South Dublin","Killinarden, Tallaght",9,"*N/A","","","","","","Q1-2019"
1962,"SHIP CONSTRUCTION","South Dublin","Nangor Road, Clondalkin, Dublin 22",93,"*N/A","","","Stage 3 approved Q4-2020, the scheme is now approved to proceed to tender.","","",""
1963,"CAS CONSTRUCTION","South Dublin","Collinstown Grove, Clondalkin",4,"T�ath Housing Association Ltd","","","","","","Q1-2020"
1964,"CAS CONSTRUCTION","South Dublin","Old Nangor Road, Clondalkin",10,"Simon Community : Dublin Simon","","","","","Q4-2019",""
1965,"CALF Turnkey","South Dublin","2 properties Tullyhall, Lucan, County Dublin (Phase 1)*",2,"T�ath Housing Association","","","","","","Q2-2019"
1966,"CALF Turnkey","South Dublin","6 units Elder Heath, Kiltipper Road, Tallaght, Dublin 24 (Phase 1)*",6,"Cluid Housing","","","","","","Q4-2019"
1967,"CALF Turnkey","South Dublin","Ardsolus, Old Naas Road, Dublin 22 (Phase 1)",10,"Respond","","","","","","Q3-2019"
1968,"CALF Turnkey","South Dublin","Aylmer Heath, Newcastle, Co. Dublin (Phase 1)",32,"Respond","","","","","","Q4-2020"
1969,"CALF Turnkey","South Dublin","Ballynakelly, Newcastle, Co. Dublin (Phase 1)",6,"T�ath Housing Association","","","","","","Q4-2018"
1970,"CALF Turnkey","South Dublin","Ballynakelly, Newcastle, Co. Dublin (Phase 2)",4,"T�ath Housing Association","","","","","","Q1-2019"
1971,"CALF Turnkey","South Dublin","Balrothery, Castletymon Road, Dublin Road (Phase 1)*",13,"Cluid Housing","","","","","","Q4-2019"
1972,"CALF Turnkey","South Dublin","Broadfield Grove, Rathcoole, Co. Dublin (Phase 1)*",14,"Oaklee Housing","","","","","","Q3-2017"
1973,"CALF Turnkey","South Dublin","Burgage Gardens, Newcastle, Co. Dublin (Phase 1)*",4,"Respond","","","","","","Q2-2020"
1974,"CALF Turnkey","South Dublin","Burgage, Newcastle, Co. Dublin (Phase 1)",10,"Respond","","","","","","Q4-2019"
1975,"CALF Turnkey","South Dublin","Burgage, Newcastle, Co. Dublin (Phase 2)",26,"Respond","","","","","","Q2-2020"
1976,"CALF Turnkey","South Dublin","Cloverhill Road, Raheen, Clondalkin, Dublin 22\n (Phase 1)",45,"T�ath Housing Association","","","","","","Q4-2020"
1977,"CALF Turnkey","South Dublin","Cloverhill Road, Raheen, Clondalkin, Dublin 22\n (Phase 2)",15,"T�ath Housing Association","","","","","","Q4-2020"
1978,"CALF Turnkey","South Dublin","Cloverhill Road, Raheen, Clondalkin, Dublin 22\n (Phase 3)*",23,"T�ath Housing Association","","","","","","Q4-2020"
1979,"CALF Turnkey","South Dublin","Cuil Duin Green, Cuil Duin, Citywest, Dublin 24 (Phase 1)*",24,"Fold Housing Association Ireland Ltd","","","","","","Q4-2020"
1980,"CALF Turnkey","South Dublin","De Selby Heights, Tallaght, Dublin 24 (Phase 1)",9,"T�ath Housing Association","","","","","","Q4-2019"
1981,"CALF Turnkey","South Dublin","Dodderbrook (Apartments), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",6,"Cluid Housing","","","","","","Q1-2018"
1982,"CALF Turnkey","South Dublin","Dodderbrook (Houses), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",8,"Cluid Housing","","","","","","Q1-2018"
1983,"CALF Turnkey","South Dublin","Dodderbrook, Old Court Rd, Ballycullen, Dublin 24 (Phase 1)*",4,"Cluid Housing","","","","","","Q4-2019"
1984,"CALF Turnkey","South Dublin","Dodderbrook, Old Court Rd, Ballycullen, Dublin 24 (Phase 2)*",9,"Cluid Housing","","","","","Q1-2019",""
1985,"CALF Turnkey","South Dublin","Dodderbrook, Oldcourt Road, Ballycllen, Dublin 24 (Phase 1)*",4,"Cluid Housing","","","","","","Q3-2018"
1986,"CALF Turnkey","South Dublin","Edenbrook, Citywest, Dublin 24 (Phase 1)",17,"T�ath Housing Association","","","","","","Q4-2019"
1987,"CALF Turnkey","South Dublin","Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 1)*",18,"Cluid Housing","","","","","","Q1-2018"
1988,"CALF Turnkey","South Dublin","Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 2)*",10,"Cluid Housing","","","","","","Q2-2018"
1989,"CALF Construction","South Dublin","Fernwood Green and Maplewood Heights, Tallaght, Dublin  (Phase 1)",40,"Cluid Housing","","","","","Q3-2020",""
1990,"CALF Turnkey","South Dublin","Finnstown, Lucan, Co. Dublin (Phase 1)",32,"Respond","","","","","Q4-2018",""
1991,"CALF Turnkey","South Dublin","Finnstown, Lucan, Co. Dublin (Phase 2)*",62,"Respond","","","","","Q4-2018",""
1992,"CALF Turnkey","South Dublin","Green Lane, Rathcoole, Co. Dublin (Phase 1)*",12,"T�ath Housing Association","","","","","","Q4-2020"
1993,"CALF Turnkey","South Dublin","Green Lane, Rathcoole, Co. Dublin (Phase 2)*",9,"T�ath Housing Association","","","","","","Q4-2020"
