"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1137,"SHIP CONSTRUCTION","Kilkenny","Gaol Road, Kilkenny",10,"*N/A","","","","","","Q3-2016"
1138,"SHIP CONSTRUCTION","Kilkenny","Greensbridge House",5,"*N/A","","","","","","Q4-2018"
1139,"SHIP CONSTRUCTION","Kilkenny","The Broguemaker, Kilkenny",18,"*N/A","","","","","Q2-2020",""
1140,"SHIP CONSTRUCTION","Kilkenny","Ladywell, Thomastown",25,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1141,"SHIP CONSTRUCTION","Kilkenny","Crokers Hill, Kennyswell Road, Kilkenny",51,"*N/A","","","","","Q2-2020",""
1142,"SHIP CONSTRUCTION","Kilkenny","Ayrfield",9,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1143,"CAS CONSTRUCTION TURNKEY","Kilkenny","Golf Links Road, Kilkenny",15,"Respond","","","","","","Q3-2019"
1144,"CAS CONSTRUCTION","Kilkenny","Kingsriver, Ennisnag",4,"Kingsriver Housing Association Limited","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
1145,"CAS CONSTRUCTION","Kilkenny","Garrin Green",6,"SOS Kilkenny Housing Association Ltd","","","","","","Q4-2018"
1146,"CAS CONSTRUCTION","Kilkenny","Hazelbrook, Newrath",2,"Waterford Dove Housing Association","","","","","","Q1-2018"
1147,"CAS CONSTRUCTION","Kilkenny","Good Shepherd Centre - Wing 1952",12,"The Good Shepherd Centre (Kilkenny) Ltd","","","","","","Q4-2018"
1148,"CAS CONSTRUCTION","Kilkenny","Brooke House, Thomastown",5,"Camphill Communities of Ireland","","","","","","Q3-2017"
1149,"CAS CONSTRUCTION","Kilkenny","Friary Walk, Callan",12,"Cluid Housing Association","","","","","","Q3-2016"
1150,"CAS CONSTRUCTION","Kilkenny","Garden Cottage, The Workhouse, Callan",1,"Camphill Communities of Ireland","","","","","","Q4-2017"
1151,"CAS CONSTRUCTION","Kilkenny","Red Barn, Patrick Street, Ballyragget",12,"Good Shepherd Services Ltd","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
1152,"CAS CONSTRUCTION","Kilkenny","Smith's Road, Ballyraggett",4,"Oaklee Housing Trust","","","","","","Q4-2018"
1153,"CAS CONSTRUCTION","Kilkenny","Fennelly's Lane Jerpoint",2,"Camphill Communities of Ireland","Stage 1 approved Q3-2017, outline design and costs being prepared.","","","","",""
1154,"CAS CONSTRUCTION","Kilkenny","8/9 Kilkenny Street, Castlecomer",3,"Good Shepherd Services Ltd","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
1155,"CAS CONSTRUCTION","Kilkenny","19/21 Blackmill Street, Kilkenny",12,"Good Shepherd Services Ltd","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
1156,"CAS CONSTRUCTION","Kilkenny","Brother Thomas Place, Church Lane, Kilkenny",12,"Good Shepherd Services Ltd","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
1157,"CAS CONSTRUCTION","Kilkenny","Bridge Street, Callan",6,"Good Shepherd Services Ltd","","","","","","Q4-2019"
1158,"CAS CONSTRUCTION","Kilkenny","Grennan Villa, Thomastown",5,"Camphill Communities of Ireland","","","","","Q3-2020",""
1159,"CAS CONSTRUCTION","Kilkenny","Fiennes Court, William Street, Kilkenny",7,"Good Shepherd Services Ltd","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1160,"CAS CONSTRUCTION","Kilkenny","St. John of god Convent, College Road, Kilkenny",12,"Sophia Housing Association Ltd","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
1161,"CAS CONSTRUCTION","Kilkenny","The Round House, Kells, Co. Kilkenny",4,"SOS Kilkenny Housing Association Ltd","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
1162,"CAS CONSTRUCTION","Kilkenny","Ladywell Street, Thomastown, Co. Kilkenny",6,"Good Shepherd Services Ltd","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
1163,"CALF TURNKEY","Kilkenny","Castlehyde, Rosbercon (Phase 1)",4,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
1164,"CALF TURNKEY","Kilkenny","Castlehyde, Rosbercon (Phase 2)",6,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
1165,"CALF TURNKEY","Kilkenny","Golf Links Road, Kilkenny (Phase 1)*",39,"Respond","","","","","","Q4-2019"
1166,"CALF TURNKEY","Kilkenny","Logan Square, Thomastown, Co Kilkenny (Phase 1)*",16,"Oaklee Housing","","","","","","Q2-2017"
1167,"CALF TURNKEY","Kilkenny","Love Lane, Castlecomer, Co. Kilkenny (Phase 1)",4,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2019"
1168,"CALF TURNKEY","Kilkenny","Margaret�s Field, Callan Road, Kilkenny City (Phase 1)",40,"Respond","","","","","Q1-2019",""
1169,"CALF TURNKEY","Kilkenny","Nuncio Road, Kilkenny (Phase 1)",15,"Respond","","","","","Q4-2018",""
1170,"CALF TURNKEY","Kilkenny","Nuncio Road, Kilkenny (Phase 2)",13,"Respond","","","","","Q4-2018",""
1171,"CALF TURNKEY","Kilkenny","Nuncio Road, Kilkenny (Phase 3)*",22,"Respond","","","","","Q4-2018",""
1172,"CALF TURNKEY","Kilkenny","O�Loughlin Court, Kilkenny  (Phase 1)",2,"Respond","","","","","","Q4-2018"
1173,"CALF TURNKEY","Kilkenny","Orchard Close, Kilkenny (Phase 1)*",23,"Cluid Housing","","","","Q3-2020","",""
1174,"CALF CONSTRUCTION","Kilkenny","Park Lane, Friary Walk, Callan, Co Kilkenny (Phase 1)*",16,"Cluid Housing","","","","","","Q2-2019"
1175,"CALF TURNKEY","Kilkenny","Side Road, Moneenroe, Castlecomer, Co. Kilkenny (Phase 1)",9,"Oaklee Housing","","","","","","Q3-2018"
1176,"CALF CONSTRUCTION","Kilkenny","Walkin St Kilkenny (Phase 1)",27,"Oaklee Housing","","","","","","Q4-2019"
1177,"SHIP CONSTRUCTION TURNKEY","Laois","Priory, Borris in Ossory",6,"*N/A","","","","","Q1-2020",""
1178,"SHIP CONSTRUCTION TURNKEY","Laois","Priory, Borris in Ossory",5,"*N/A","","","","","Q2-2020",""
1179,"SHIP CONSTRUCTION","Laois","Harpurs Lane, Portlaoise",1,"*N/A","","","","","","Q4-2019"
1180,"SHIP CONSTRUCTION","Laois","Hillview, Portlaoise",2,"*N/A","","","","","Q4-2019",""
1181,"SHIP CONSTRUCTION","Laois","Coolroe, Ballybrittas",1,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1182,"SHIP CONSTRUCTION","Laois","The Orchard, Stradbally",6,"*N/A","","","","","","Q1-2020"
1183,"SHIP CONSTRUCTION","Laois","Moore Street, Rathdowney",6,"*N/A","","","","","Q3-2020",""
1184,"SHIP CONSTRUCTION","Laois","Ballymorris Road, Portarlington",22,"*N/A","","","","","Q3-2019",""
1185,"SHIP CONSTRUCTION","Laois","Gleann na Glaise, Ballyroan",10,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1186,"SHIP CONSTRUCTION","Laois","Pattison Est. Mountmellick",10,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1187,"SHIP CONSTRUCTION","Laois","Shannon Street, Mountrath",6,"*N/A","","","","","Q1-2020",""
1188,"SHIP CONSTRUCTION","Laois","Conniberry Way, Old Knockmay Road, Portlaoise",33,"*N/A","","","","","","Q2-2018"
1189,"SHIP CONSTRUCTION","Laois","Harbour Court, Mountmellick",6,"*N/A","","","","","Q1-2020",""
1190,"SHIP CONSTRUCTION","Laois","Mooreville, Rathdowney",7,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
1191,"SHIP CONSTRUCTION","Laois","Sean Doire, Cork Road, Durrow",22,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
1192,"SHIP CONSTRUCTION","Laois","St Kieran's Park, Errill",14,"*N/A","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
1193,"SHIP CONSTRUCTION","Laois","Clonrooske, Knockmay",11,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1194,"SHIP CONSTRUCTION","Laois","Carraig Glas, Stradbally",26,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1195,"SHIP CONSTRUCTION","Laois","Stradbally Road, Portlaoise",50,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
1196,"SHIP CONSTRUCTION","Laois","Iona",9,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1197,"CAS CONSTRUCTION","Laois","Presentation Convent & Lands, Portlaoise, ",47,"Sophia Housing Association Ltd","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
1198,"CALF TURNKEY","Laois","Ballickmoyler, Graiguecullen, Laois (Phase 1)*",20,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1199,"CALF TURNKEY","Laois","Bellingham, Portlaoise\n (Phase 1)",4,"Cluid Housing","","","","","","Q3-2019"
1200,"CALF TURNKEY","Laois","Bellingham, Portlaoise\n (Phase 2)",6,"Cluid Housing","","","","","","Q4-2019"
1201,"CALF TURNKEY","Laois","Bellingham, Portlaoise\n (Phase 3)",5,"Cluid Housing","","","","","","Q2-2020"
1202,"CALF TURNKEY","Laois","Bellingham, Portlaoise\n (Phase 4)*",6,"Cluid Housing","","","","","Q1-2017",""
1203,"CALF TURNKEY","Laois","Bellingham, Portlaoise\n (Phase 5)*",9,"Cluid Housing","","","","","Q1-2017",""
1204,"CALF TURNKEY","Laois","Borris Road, Portlaoise, Co. Laois (Phase 1)*",9,"T�ath Housing Association","","","","","","Q3-2020"
1205,"CALF TURNKEY","Laois","Borris Road, Portlaoise, Co. Laois (Phase 2)*",8,"T�ath Housing Association","","","","","","Q3-2020"
1206,"CALF TURNKEY","Laois","Borris Road, Portlaoise, Co. Laois (Phase 3)",10,"T�ath Housing Association","","","","","Q3-2019",""
1207,"CALF TURNKEY","Laois","Borris Road, Portlaoise, Co. Laois (Phase 4)",9,"T�ath Housing Association","","","","","Q3-2019",""
1208,"CALF TURNKEY","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 1)",17,"T�ath Housing Association","","","","","","Q3-2018"
1209,"CALF TURNKEY","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 2)",9,"T�ath Housing Association","","","","","","Q4-2018"
1210,"CALF TURNKEY","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 3)",13,"T�ath Housing Association","","","","","","Q4-2018"
1211,"CALF TURNKEY","Laois","Doirinn Alainn, Ballylynan, Co. Laois (Phase 1)",2,"North & East Housing Association Ltd","","","","","","Q3-2020"
1212,"CALF TURNKEY","Laois","Doirinn Alainn, Ballylynan, Co. Laois (Phase 2)",4,"North & East Housing Association Ltd","","","","","Q1-2019",""
1213,"CALF TURNKEY","Laois","Doirinn Alainn, Ballylynan, Co. Laois (Phase 3)*",6,"North & East Housing Association Ltd","","","","","Q1-2019",""
1214,"CALF TURNKEY","Laois","Droimnin, Stradbally, Co Laois  (Phase 1)",6,"Cluid Housing","","","","","","Q3-2018"
1215,"CALF TURNKEY","Laois","Holdbrook, Portlaoise, Co. Laois (Phase 1)",10,"Cluid Housing","","","","","Q3-2018",""
1216,"CALF TURNKEY","Laois","Holdbrook, Portlaoise, Co. Laois (Phase 2)",10,"Cluid Housing","","","","","Q3-2018",""
1217,"CALF CONSTRUCTION","Laois","Kirwan Park, Mountmellick, Co Laois  (Phase 1)",2,"Cluid Housing","","","","","","Q2-2018"
1218,"CALF TURNKEY","Laois","Knockmay Mews, Old Knockmay Road, Portlaoise, Co. Laois (Phase 1)",3,"T�ath Housing Association","","","","","","Q3-2020"
1219,"CALF TURNKEY","Laois","Lake Drive, Kilminchy, Portlaoise, Co. Laois (Phase 1)",8,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1220,"CALF TURNKEY","Laois","Lake Drive, Kilminchy, Portlaoise, Co. Laois (Phase 2)",2,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1221,"CALF TURNKEY","Laois","Main Street, Stradbally, Co. Laois (Phase 1)",16,"North & East Housing Association Ltd","","","","","","Q3-2020"
1222,"CALF TURNKEY","Laois","Phase 2 The Glen, Kilnacourt, Portarlington, Co Laois (Phase 1)",18,"Co - Operative Housing Ireland Society Limited","","","","Q3-2020","",""
1223,"CALF CONSTRUCTION","Laois","POST TENDER - Cluinin  Mountrath, Co. Laois (Phase 1)",11,"Oaklee Housing","","","","","","Q1-2018"
1224,"CALF TURNKEY","Laois","South Dublin Road, Portlaoise, Co. Laois (Phase 1)",13,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2020",""
1225,"CALF TURNKEY","Laois","South Dublin Road, Portlaoise, Co. Laois (Phase 2)",14,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2020",""
1226,"CALF TURNKEY","Laois","South Dublin Road, Portlaoise, Co. Laois (Phase 3)*",9,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2020",""
1227,"CALF TURNKEY","Laois","Spa Street, Droughill, Portarlington, Co. Laois (Phase 1)*",26,"Oaklee Housing","","","","Q3-2020","",""
1228,"CALF TURNKEY","Laois","The Glen, Kilnacourt, Portarlington, Co. Laois (Phase 1)",18,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2020"
1229,"CALF TURNKEY","Laois","Wilton Lawns, Portarlington, Co. Laois (Phase 1)",2,"Respond","","","","Q4-2019","",""
1230,"SHIP CONSTRUCTION TURNKEY","Leitrim","Roosky",7,"*N/A","","","","","","Q4-2019"
1231,"SHIP CONSTRUCTION TURNKEY","Leitrim","Drumshanbo",9,"*N/A","","","","","","Q3-2019"
1232,"SHIP CONSTRUCTION TURNKEY","Leitrim","Church Lane, Ballinamore",9,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
1233,"SHIP CONSTRUCTION TURNKEY","Leitrim","Druminshingore, Newtowngore",2,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1234,"SHIP CONSTRUCTION TURNKEY","Leitrim","Carraig Breac, Drumshanbo",5,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1235,"SHIP CONSTRUCTION TURNKEY","Leitrim","Oakgrove, Kinlough",5,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1236,"SHIP CONSTRUCTION TURNKEY","Leitrim","Ard na Drise, Mohill",3,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1237,"SHIP CONSTRUCTION TURNKEY","Leitrim","Ard na Drise, Phase 2, Mohill",2,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1238,"SHIP CONSTRUCTION TURNKEY","Leitrim","Lough Meen Estate, Drumkeerin",2,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1239,"SHIP CONSTRUCTION","Leitrim","Autumn View, Summerhill, Carrick on Shannon",27,"*N/A","","","","","Q4-2019",""
1240,"SHIP CONSTRUCTION","Leitrim","Taobh Tire, Manorhamilton (Phase 2)",7,"*N/A","","","","","","Q4-2018"
1241,"SHIP CONSTRUCTION","Leitrim","Taobh Tire, Manorhamilton (Phase 3)",5,"*N/A","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
1242,"SHIP CONSTRUCTION","Leitrim","Townparks, Carrick on Shannon",12,"*N/A","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
1243,"SHIP CONSTRUCTION","Leitrim","Lahard, Ballinamore",10,"*N/A","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
1244,"CAS CONSTRUCTION","Leitrim","Ballinamore",2,"Society of Saint Vincent de Paul","","","","","","Q4-2017"
1245,"CALF TURNKEY","Leitrim","Cnoc an Luir, Drumshanbo, Co. Leitrim (Phase 1)",10,"T�ath Housing Association","","","","","","Q4-2019"
1246,"SHIP CONSTRUCTION TURNKEY","Limerick","Woodlawn Park, Ballysimon Road, Limerick",9,"*N/A","","","","","","Q4-2019"
1247,"SHIP CONSTRUCTION TURNKEY","Limerick","Woodlawn Park (Phase 2), Ballysimon Road, ",1,"*N/A","","","","","","Q4-2019"
1248,"SHIP CONSTRUCTION TURNKEY","Limerick","Carraig Desmond, Newcastle West",8,"*N/A","","","","","","Q4-2019"
1249,"SHIP CONSTRUCTION TURNKEY","Limerick","Knocklong",2,"*N/A","","","","","Q1-2020",""
1250,"SHIP CONSTRUCTION TURNKEY","Limerick","Carraig Desmond",2,"*N/A","","","","","","Q4-2019"
1251,"SHIP CONSTRUCTION TURNKEY","Limerick","Redgate Close, Old Cratloe Road, Limerick City",14,"*N/A","","","","","Q1-2020",""
1252,"SHIP CONSTRUCTION TURNKEY","Limerick","The Orchard, Main Street, Pallaskenry",8,"*N/A","","","","","Q1-2020",""
1253,"SHIP CONSTRUCTION TURNKEY","Limerick","Gortboy, Charleville Road, kIlmallock",33,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1254,"SHIP CONSTRUCTION TURNKEY","Limerick","The Orchard, Main Street, Pallaskenry",8,"*N/A","","","","","Q1-2020",""
1255,"SHIP CONSTRUCTION RAPID","Limerick","Faha View, Patrickswell",16,"*N/A","","","","","","Q4-2019"
1256,"SHIP CONSTRUCTION RAPID","Limerick","Old Christians Site, Rathbane",43,"*N/A","","","","","Q2-2020",""
1257,"SHIP CONSTRUCTION","Limerick","Patrick�s Villas, Castleconnell",4,"*N/A","","","","","Q3-2019",""
1258,"SHIP CONSTRUCTION","Limerick","Ballysimon, Greenhill Road ",14,"*N/A","","","","","Q1-2020",""
1259,"SHIP CONSTRUCTION","Limerick","Gough Place, Rosbrien Road, Limerick",17,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
1260,"SHIP CONSTRUCTION","Limerick","Burke Avenue, Limerick City",12,"*N/A","","","","","","Q4-2019"
1261,"SHIP CONSTRUCTION","Limerick","Fannings Corner, Limerick City",3,"*N/A","","","","","","Q4-2019"
1262,"SHIP CONSTRUCTION","Limerick","Wallers Well, Limerick City (Phase 2)",13,"*N/A","","","","","Q2-2019",""
1263,"SHIP CONSTRUCTION","Limerick","Clonmacken, Limerick City",43,"*N/A","","","","","Q3-2019",""
1264,"SHIP CONSTRUCTION","Limerick","Deerpark, Adare",30,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1265,"SHIP CONSTRUCTION","Limerick","Glenview Drive, Hospital",20,"*N/A","","","","","Q3-2020",""
1266,"SHIP CONSTRUCTION","Limerick","Clare Street, Limerick City",7,"*N/A","","Stage 2 approved Q3-2017, full design/tender being prepared.","","","",""
1267,"SHIP CONSTRUCTION","Limerick","Hasset Villas, Thomondgate",3,"*N/A","","","","","","Q4-2018"
1268,"SHIP CONSTRUCTION","Limerick","Kilmurry Court, Garryowen",7,"*N/A","","","","","","Q4-2019"
1269,"SHIP CONSTRUCTION","Limerick","Rathbane Road, Limerick City",2,"*N/A","","","","","","Q1-2019"
1270,"SHIP CONSTRUCTION","Limerick","Sycamore Avenue, Limerick City",5,"*N/A","","","","","","Q3-2019"
1271,"SHIP CONSTRUCTION","Limerick","Lower Carey's Road, Limerick City",11,"*N/A","","","","","Q1-2020",""
1272,"SHIP CONSTRUCTION","Limerick","Kileely Road, Moyross",5,"*N/A","","","","","Q2-2020",""
1273,"SHIP CONSTRUCTION","Limerick","Clare Street, Limerick City",2,"*N/A","","","","","","Q4-2017"
1274,"SHIP CONSTRUCTION","Limerick","Knocklong",12,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
1275,"SHIP CONSTRUCTION","Limerick","Colbert Terrace, Abbeyfeale",3,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
1276,"SHIP CONSTRUCTION","Limerick","St. Michael's Court, Watergate Flats, ",9,"*N/A","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
1277,"SHIP CONSTRUCTION","Limerick","Ballygrennan Road, Limerick City",2,"*N/A","","","","","","Q4-2017"
1278,"SHIP CONSTRUCTION","Limerick","Ballysimon, Greenhills Road",3,"*N/A","","","","","Q2-2020",""
1279,"SHIP CONSTRUCTION","Limerick","Broadford, Limerick",15,"*N/A","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
1280,"REGENERATION","Limerick","Lord Edward Street, P2: Main Contract",79,"*N/A","","","","","","Q4-2017"
1281,"REGENERATION","Limerick","Lord Edward Street, P2: Main Contract",2,"*N/A","","","","","","Q1-2017"
1282,"REGENERATION","Limerick","Sheep / Athlunkards Street",8,"T�ath Housing Association Ltd","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
1283,"REGENERATION","Limerick","Churchfield",19,"*N/A","","","","","","Q1-2018"
1284,"REGENERATION","Limerick","Churchfield (Phase 2)",38,"Cluid Housing Association","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
1285,"REGENERATION","Limerick","Cosgrave Park",9,"*N/A","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
1286,"REGENERATION","Limerick","Orchard Site",26,"Oaklee Housing Trust","","Stage 2 approved Q3-2017, full design/tender being prepared.","","","",""
1287,"REGENERATION","Limerick","176 & 177 Cliona Park",2,"*N/A","","","","","","Q2-2016"
1288,"REGENERATION","Limerick","Cliona Park (Phase 2)",10,"*N/A","","","","","","Q2-2017"
1289,"REGENERATION","Limerick","8-10 Gaol Lane",3,"*N/A","","","","","","Q4-2016"
1290,"REGENERATION","Limerick","1 3 Weston Gardens",3,"*N/A","","","","","","Q2-2016"
1291,"REGENERATION","Limerick","2016 Moyross Rebuild",6,"*N/A","","","","","","Q4-2016"
1292,"REGENERATION","Limerick","2016 Southhill Rebuild",8,"*N/A","","","","","","Q4-2016"
1293,"REGENERATION","Limerick","2016 St. Mary's Park Rebuild",9,"*N/A","","","","","","Q4-2016"
1294,"REGENERATION","Limerick","BCW Vacant Refurbs, Lot 1 & 2**",14,"*N/A","","","","","","Q4-2016"
1295,"REGENERATION","Limerick","St. Mary's Park Infills",15,"*N/A","","","","","","Q4-2018"
1296,"REGENERATION","Limerick","Cliona Park (Phase 3)",18,"T�ath Housing Association Ltd","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
1297,"REGENERATION","Limerick","45A-46A Cliona Park",2,"*N/A","","","","","Q2-2020",""
1298,"REGENERATION","Limerick","Dalgaish Park",27,"*N/A","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
1299,"REGENERATION","Limerick","2017 St Mary's Park Rebuild",1,"*N/A","","","","","","Q4-2017"
1300,"REGENERATION","Limerick","2017 Ballinacurra Weston Rebuild",1,"*N/A","","","","","","Q4-2017"
1301,"REGENERATION","Limerick","2017 Southill Rebuilds",13,"*N/A","","","","","","Q4-2017"
1302,"REGENERATION","Limerick","2017 Moyross Rebuild",1,"*N/A","","","","","","Q4-2017"
